Day,Group 1- Control,Group 1- Control,Group 1- Control,Group 1- Control,Group 1- Control,Group 1- Control,Group 1- Control,Group 2- MMV665917 QD,Group 2- MMV665917 QD,Group 2- MMV665917 QD,Group 2- MMV665917 QD,Group 2- MMV665917 QD,Group 2- MMV665917 QD,Group 2- MMV665917 QD
0,100,100,100,100,100,1463.679,100,163.7891,,100,100,100,29.75432,100
1,676.5782,885.2745,252.681,29.46108,125.7938,100,307.1281,100,,100,2186.897,398.4107,970.0358,102.1135
2,146.4694,100,100,100,1856.703,1224.092,443.7538,89.62334,,354.8818,100,1911.951,124.7241,143.6596
3,70.51934,310.1824,333.218,37835.5,12894.29,3757.213,351944.8,2197.311,,132723.8,167739.8,51073.78,74074.32,19543.51
4,2643.688,107.7223,13585.92,265330,419680.2,255186.6,69160.76,16508.46,,8272896,18124.44,16901.71,134214.9,38228.2
5,176.5125,12758.64,54915.75,330022.4,234158.6,40926.78,4900.993,299.2481,,281794,293688.5,575.7504,318.903,4421.925
6,15085.65,120163.9,31008.24,1560.313,1701538,110510,127252.8,9298.085,,190059.8,100,100,643.6122,47.96867
7,195046.1,103565.1,42637.21,14220.37,172595.2,143827.2,12613.89,5325.827,,723.0239,100,100,180.54,100
8,7064680,4911.837,1209650,64355.78,560776,416337.9,25398.03,7182.161,,412.2393,100,100,0,100
9,3539637,413654,267788.6,20388.89,262097.4,194421.2,17758.29,157.3942,,12092.7,44.48962,100,45.78651,143.012
10,854883.6,780524.4,46650.17,3100.834,9328.175,39790.84,30016.35,119.5617,,3618.992,18.18222,100,375.489,100
11,38566.22,47127.22,42413.84,6186.854,3589.029,22859.97,1484.45,100,,5392.836,33.92873,100,101.8225,100
