Day,Control,Control,Control,Control,Control,Control,AN7973 QD,AN7973 QD,AN7973 QD,AN7973 QD,AN7973 QD,AN7973 QD,AN7973 BID,AN7973 BID,AN7973 BID,AN7973 BID,AN7973 BID,AN7973 BID,AN7973 TID,AN7973 TID,AN7973 TID,AN7973 TID,AN7973 TID,AN7973 TID,AN7973 delayed BID,AN7973 delayed BID,AN7973 delayed BID,AN7973 delayed BID,AN7973 delayed BID,AN7973 delayed BID
0,1,367.0641,100,100,100,100,100,330.7413,773.8655,,,,100,100,100,100,100,,414.8579,100,1088.9,,,,100,100,100,,,
1,111710.5,5024.565,5290.76,691.0178,457.8592,1865.994,6697.582,100,100,,,,100,582.8127,4199.56,822.6937,100,,1162.649,16496.78,3596.659,,,,734.5926,15983.24,4675.223,,,
2,12180.96,5979778,1.435024e+007,114.9425,796158.7,1.741261e+007,100,7841.091,62183.46,,,,4179.466,2794.03,7607.508,307530.8,611130.9,,989896.6,908.9419,9022387,,,,4027.764,572309.3,376712.8,,,
3,13971.11,2208299,5691169,506549.1,1.269861e+007,2.02974e+007,644594.1,196913.4,724660.8,,,,46247.95,34330.59,424630.4,2089133,73656.79,,285174.4,179330.3,2560722,,,,3180923,9928800,3074178,,,
4,1235425,8.483104e+007,4783601,6592583,5714541,2631580,119579.9,31775.96,1354.623,,,,68492.08,55772.24,569303.6,45407.93,68935.48,,27986.35,38981.66,582683.3,,,,4800342,1.075301e+007,1097033,,,
5,807891.7,7243635,2159176,2282286,2530128,2098376,573.4171,17467.66,8980.659,,,,23952.6,1325.682,6642.994,4782.41,2596.043,,2214.389,6562.958,6827.98,,,,120114.7,89411.47,172967,,,
6,1888659,2.144308e+007,3814874,6031032,5104114,2.083276e+007,22397.07,8798.58,7164.294,,,,265538.6,3627.519,100,100,901.0795,,10465.64,100,54222.57,,,,5946.402,36783.01,10726.92,,,
7,1328683,1050257,2288036,3347329,1.81163e+007,1714614,67293.17,6611.167,7598.481,,,,39301.67,2598.796,100,100,448.6038,,16062.11,100,8460.932,,,,4811.094,6675.549,100,,,
8,106120.6,2474748,202203.9,1332104,459955.1,491139.3,356359,4535.059,3184.562,,,,43202.49,100,5575.136,100,804.2777,,525550,100,2784.575,,,,154.3845,2647.527,362.9951,,,
9,590418.3,375100.5,182237.1,2212233,143151.9,1.36084e+007,54863.71,100,1163.249,,,,146.1182,100,100,100,3494.966,,522608.1,100,50511.03,,,,100,2146.923,1133.983,,,
10,182744.5,19240.74,59485.72,1941622,579781.6,2.528489e+007,139950.6,100,1009.989,,,,611.0037,192.3026,100,292.142,3100.71,,905561.5,162.0937,198125.3,,,,100,401.1722,623.7998,,,
11,,,,117740.6,258562.5,3855383,,,,,,,,,100,1591.208,65130.11,,8303500,82.0587,100223,,,,164.0889,10.10709,100,,,
12,,,,20555.78,35900.68,2.787694e+007,,,,,,,,,100,340.0441,15682.82,,134619,1213.303,154950.6,,,,1031.865,100,100,,,
13,,,,1887.977,2655.092,662047.4,,,,,,,,,100,3929.705,6795.464,,473514.7,386.8038,141133,,,,100,100,27.78461,,,
14,,,,1034.364,3848.163,38359.98,,,,,,,,,100,29921.61,5364.538,,35244.05,188.1476,78358.88,,,,100,100,100,,,
